Date,Price,Open,High,Low,Volume,Chg
18-04-2017,600.43,597.61,601.7,597.45,255.35M,0.0033
17-04-2017,598.48,594.42,598.54,594.42,250.10M,0.0079
13-04-2017,593.81,596.79,596.91,593.81,223.01M,-0.0061
12-04-2017,597.44,596.21,598.5,595.66,278.16M,0.0019
11-04-2017,596.31,595.47,596.36,593.89,250.17M,0.0013
10-04-2017,595.51,594.64,596.69,593.48,249.58M,0.0025
07-04-2017,594.02,593.99,595.72,593.68,249.42M,0
06-04-2017,594.02,594.29,595.54,593.16,282.12M,0.0003
05-04-2017,593.82,595.83,598.53,593.02,293.62M,-0.0018
04-04-2017,594.9,595.37,595.44,593,306.06M,-0.0012
03-04-2017,595.61,598.16,598.24,593.68,347.99M,-0.0028
31-03-2017,597.3,598.55,599.3,597.25,283.44M,-0.0025
30-03-2017,598.79,600.28,600.7,598.32,273.63M,-0.0043
29-03-2017,601.38,599.71,602.06,599.29,247.49M,0.0014
28-03-2017,600.51,596.55,602.13,596.25,314.18M,0.0053
27-03-2017,597.33,595.02,597.9,594.14,293.00M,-0.0002
24-03-2017,597.42,597.62,599.07,595.42,278.49M,-0.0003
23-03-2017,597.57,596.9,600.42,596.75,303.36M,-0.0004
22-03-2017,597.8,599.51,599.51,596.37,354.75M,-0.0033
21-03-2017,599.79,604.32,604.93,599.46,411.14M,-0.0071
20-03-2017,604.07,603.7,604.75,602.77,293.38M,0.0006
17-03-2017,603.7,606.06,606.71,603.48,506.94M,-0.0022
16-03-2017,605.05,604.98,605.32,603.61,276.83M,0.0004
15-03-2017,604.78,600.59,606.25,600.38,307.82M,0.0091
14-03-2017,599.34,599.15,600.64,598.56,239.44M,-0.0008
13-03-2017,599.82,598.64,600.36,598.37,247.48M,0.0005
10-03-2017,599.54,598.43,600.28,597.55,282.76M,0.0057
09-03-2017,596.14,596.17,596.95,594.59,262.97M,0.0009
08-03-2017,595.63,595.32,596.77,594.55,273.15M,-0.001
07-03-2017,596.2,596.32,597.45,595.88,274.24M,-0.0021
06-03-2017,597.45,597.66,598.12,596.01,271.90M,-0.0042
03-03-2017,599.95,599.83,600.03,597.06,271.72M,-0.0006
02-03-2017,600.33,601.2,601.88,599.58,298.67M,-0.0007
01-03-2017,600.77,598.1,602.04,597.31,338.40M,0.0078
28-02-2017,596.11,595.04,597.74,594.78,342.12M,0.0008
27-02-2017,595.61,595.04,596,593.73,325.69M,-0.0025
24-02-2017,597.08,594.24,597.08,593.34,321.37M,0.0028
23-02-2017,595.42,596.7,597.81,595.06,316.22M,-0.0016
22-02-2017,596.36,596.2,596.93,594.7,290.42M,-0.0001
21-02-2017,596.39,591.55,596.95,591.51,351.08M,0.0086
17-02-2017,591.33,586.24,591.33,585.88,428.93M,0.0067
16-02-2017,587.42,588.86,589.78,585.67,377.82M,-0.0025
15-02-2017,588.9,584.25,589.39,583.9,345.88M,0.0075
14-02-2017,584.54,583.1,585.31,581.95,359.23M,0.0012
13-02-2017,583.86,584.06,584.41,582.56,323.80M,0.0012
